Benchmark,Size_Before,Size_After,Haploid_Time,Z3_Time_Before,Z3_Time_After,Z3_Speedup
/QF_BV/bruttomesso/core/ext_con_036_016_1024.smt2,101759,101543,0.12072863709181547,0.002434134017676115,0.002568298950791359,0.01974204790324205
/QF_BV/bruttomesso/core/ext_con_040_002_0512.smt2,15719,15687,0.04790915222838521,0.0024263537488877773,0.002362330909818411,0.04826501223799938
/QF_BV/bruttomesso/core/ext_con_008_256_1024.smt2,379564,379516,0.570716607850045,0.002418903633952141,0.0026522930711507797,0.004218756249363787
/QF_BV/bruttomesso/core/ext_con_024_004_0064.smt2,16979,16722,0.05486495094373822,0.00245781522244215,0.002868570853024721,0.04257171823146873
/QF_BV/bruttomesso/core/ext_con_024_016_0064.smt2,64892,62872,0.10178579390048981,0.0028699710965156555,0.0028910920955240726,0.027417429064759767
/QF_BV/bruttomesso/core/ext_con_040_001_0256.smt2,8334,8334,0.04381856322288513,0.003315658774226904,0.002816439140588045,0.07109807239602266
/QF_BV/bruttomesso/core/ext_con_052_002_0032.smt2,19277,19252,0.06457704585045576,0.0029188827611505985,0.00252161780372262,0.04350135460512757
/QF_BV/bruttomesso/core/ext_con_024_001_0032.smt2,4921,4921,0.038482018280774355,0.0025676689110696316,0.0026336321607232094,0.06244991587140531
/QF_BV/bruttomesso/core/ext_con_016_002_0064.smt2,6237,6215,0.038841031957417727,0.0026527917943894863,0.002696763724088669,0.06386452990259596
/QF_BV/bruttomesso/core/ext_con_004_002_0128.smt2,1888,1886,0.025213564280420542,0.0028335596434772015,0.0021301619708538055,0.10362741410729066
/QF_BV/bruttomesso/core/ext_con_036_064_1024.smt2,405523,405307,0.48455406771972775,0.0028771208599209785,0.0027266950346529484,0.0059044417096580995
/QF_BV/bruttomesso/core/ext_con_056_064_0256.smt2,618285,617949,0.7534607923589647,0.002817358821630478,0.0027930280193686485,0.003725414332744831
/QF_BV/bruttomesso/core/ext_con_044_016_0256.smt2,122156,121892,0.12964767077937722,0.0026291911490261555,0.0029497542418539524,0.019828372599280684
/QF_BV/bruttomesso/core/ext_con_052_004_1024.smt2,38241,37441,0.0980483777821064,0.002578460145741701,0.002778297755867243,0.025573194117370197
/QF_BV/bruttomesso/core/ext_con_044_002_0016.smt2,16230,16171,0.05423001619055867,0.00250703701749444,0.002673933282494545,0.04405734647085689
/QF_BV/bruttomesso/core/ext_con_008_064_1024.smt2,93832,93784,0.12199644604697824,0.0024006920866668224,0.002548618707805872,0.019275690220190805
/QF_BV/bruttomesso/core/ext_con_008_016_0256.smt2,23293,22588,0.07172877201810479,0.002529668156057596,0.0024938262067735195,0.03408218273891804
